n,k,time_ms,peak_vram_mb,engine,B,reps,cv,tier1_levels,tier2_levels,tier3_levels,dominant_tier
1048576,2048,343.915029,510.048,hybrid,256,1,0.000000,0,11,1,fused
1048576,4096,368.839636,637.767,hybrid,256,1,0.000000,0,2,10,cufft
1048576,8192,403.353962,733.423,hybrid,256,1,0.000000,0,2,10,cufft
1048576,16384,539.916355,828.736,hybrid,256,1,0.000000,0,2,10,cufft
1048576,32768,468.743938,923.361,hybrid,256,1,0.000000,0,2,10,cufft
1048576,65536,499.480350,1016.611,hybrid,256,1,0.000000,0,2,10,cufft
1048576,131072,544.285871,1075.110,hybrid,256,1,0.000000,0,2,10,cufft
1048576,262144,576.035915,1160.110,hybrid,256,1,0.000000,0,2,10,cufft
1048576,524288,598.727407,1234.110,hybrid,256,1,0.000000,0,2,10,cufft
1048576,1048576,619.179830,1286.110,hybrid,256,1,0.000000,0,2,10,cufft
2097152,64,219.895953,208.500,hybrid,64,1,0.000000,15,0,0,schoolbook
2097152,128,267.612833,417.248,hybrid,128,1,0.000000,0,14,0,fused
2097152,256,396.935173,558.164,hybrid,256,1,0.000000,0,0,13,cufft
2097152,512,452.624282,1289.239,hybrid,160,1,0.000000,0,14,0,fused
2097152,1024,519.578995,832.603,hybrid,256,1,0.000000,0,13,0,fused
2097152,2048,603.299430,1020.142,hybrid,256,1,0.000000,0,12,1,fused
2097152,4096,644.330667,1275.876,hybrid,256,1,0.000000,0,2,11,cufft
2097152,8192,714.505525,1467.532,hybrid,256,1,0.000000,0,2,11,cufft
2097152,16384,901.939495,1658.845,hybrid,256,1,0.000000,0,2,11,cufft
2097152,32768,861.812258,1849.470,hybrid,256,1,0.000000,0,2,11,cufft
2097152,65536,931.296688,2038.720,hybrid,256,1,0.000000,0,2,11,cufft
2097152,131072,1028.441048,2161.219,hybrid,256,1,0.000000,0,2,11,cufft
2097152,262144,1102.603257,2342.219,hybrid,256,1,0.000000,0,2,11,cufft
2097152,524288,1165.310098,2512.219,hybrid,256,1,0.000000,0,2,11,cufft
2097152,1048576,1229.926818,2660.219,hybrid,256,1,0.000000,0,2,11,cufft
2097152,2097152,1274.605875,2764.219,hybrid,256,1,0.000000,0,2,11,cufft
4194304,64,412.956024,417.000,hybrid,64,1,0.000000,16,0,0,schoolbook
4194304,128,515.538078,834.498,hybrid,128,1,0.000000,0,15,0,fused
4194304,256,750.643253,1116.351,hybrid,256,1,0.000000,0,0,14,cufft
4194304,512,871.185000,2578.489,hybrid,160,1,0.000000,0,15,0,fused
4194304,1024,999.613173,1665.228,hybrid,256,1,0.000000,0,14,0,fused
4194304,2048,1146.645899,2040.329,hybrid,256,1,0.000000,0,13,1,fused
4194304,4096,1230.062176,2552.095,hybrid,256,1,0.000000,0,2,12,cufft
4194304,8192,1382.605378,2935.751,hybrid,256,1,0.000000,0,2,12,cufft
4194304,16384,1680.628181,3319.064,hybrid,256,1,0.000000,0,2,12,cufft
4194304,32768,1721.164752,3701.689,hybrid,256,1,0.000000,0,2,12,cufft
4194304,65536,1878.828546,4082.939,hybrid,256,1,0.000000,0,2,12,cufft
4194304,131072,2085.546937,4333.437,hybrid,256,1,0.000000,0,2,12,cufft
4194304,262144,2261.038531,4706.437,hybrid,256,1,0.000000,0,2,12,cufft
4194304,524288,2415.369848,5068.437,hybrid,256,1,0.000000,0,2,12,cufft
4194304,1048576,2580.795852,5408.437,hybrid,256,1,0.000000,0,2,12,cufft
4194304,2097152,2735.416618,5704.437,hybrid,256,1,0.000000,0,2,12,cufft
4194304,4194304,2844.852608,5912.437,hybrid,256,1,0.000000,0,2,12,cufft
8388608,64,813.306308,834.000,hybrid,64,1,0.000000,17,0,0,schoolbook
8388608,128,1017.716661,1668.998,hybrid,128,1,0.000000,0,16,0,fused
8388608,256,1460.227093,2232.726,hybrid,256,1,0.000000,0,0,15,cufft
8388608,512,1705.050326,5156.989,hybrid,160,1,0.000000,0,16,0,fused
8388608,1024,1953.906997,3330.478,hybrid,256,1,0.000000,0,15,0,fused
8388608,2048,2218.168059,4080.704,hybrid,256,1,0.000000,0,14,1,fused
8388608,4096,2379.828338,5104.532,hybrid,256,1,0.000000,0,2,13,cufft
8388608,8192,2684.897692,5872.189,hybrid,256,1,0.000000,0,2,13,cufft
8388608,16384,3186.741572,6639.501,hybrid,256,1,0.000000,0,2,13,cufft
8388608,32768,3367.246728,7406.126,hybrid,256,1,0.000000,0,2,13,cufft
8388608,65536,3679.395342,8171.376,hybrid,256,1,0.000000,0,2,13,cufft
8388608,131072,4081.775306,8677.872,hybrid,256,1,0.000000,0,2,13,cufft
8388608,262144,4427.416779,9434.872,hybrid,256,1,0.000000,0,2,13,cufft
