n,k,B,time_ms,cost_model_pick
8192,290,48,219.662,32
8192,290,64,206.474,32
8192,290,96,254.054,32
8192,290,128,293.661,32
8192,290,192,393.970,32
8192,290,256,484.437,32
8192,310,8,216.832,32
8192,310,16,203.602,32
8192,310,24,219.425,32
8192,310,32,195.817,32
8192,310,48,216.576,32
8192,310,64,205.586,32
8192,310,96,255.290,32
8192,310,128,289.634,32
8192,310,192,388.900,32
8192,310,256,484.706,32
8192,350,8,225.772,32
8192,350,16,211.475,32
8192,350,24,204.647,32
8192,350,32,206.978,32
8192,350,48,204.937,32
8192,350,64,217.616,32
8192,350,96,236.197,32
8192,350,128,300.035,32
8192,350,192,376.241,32
8192,350,256,495.379,32
8192,400,8,230.438,32
8192,400,16,217.010,32
8192,400,24,231.046,32
8192,400,32,212.889,32
8192,400,48,229.698,32
8192,400,64,224.389,32
8192,400,96,257.015,32
8192,400,128,310.247,32
8192,400,192,402.267,32
8192,400,256,509.461,32
8192,746,8,251.822,32
8192,746,16,231.549,32
8192,746,24,229.375,32
8192,746,32,225.703,32
8192,746,48,226.951,32
8192,746,64,239.499,32
8192,746,96,263.011,32
8192,746,128,321.507,32
8192,746,192,398.738,32
8192,746,256,533.988,32
8192,1112,8,268.435,32
8192,1112,16,250.666,32
8192,1112,24,272.064,32
8192,1112,32,249.117,32
8192,1112,48,265.959,32
8192,1112,64,257.573,32
8192,1112,96,297.681,32
8192,1112,128,341.703,32
8192,1112,192,440.760,32
8192,1112,256,550.678,32
8192,1657,8,299.467,32
8192,1657,16,286.425,32
8192,1657,24,296.694,32
8192,1657,32,275.532,32
8192,1657,48,290.999,32
8192,1657,64,288.471,32
8192,1657,96,323.149,32
8192,1657,128,373.671,32
8192,1657,192,469.940,32
8192,1657,256,582.130,32
8192,2471,8,287.307,32
8192,2471,16,275.959,32
8192,2471,24,303.745,32
8192,2471,32,267.294,32
8192,2471,48,299.758,32
8192,2471,64,282.657,32
8192,2471,96,333.934,32
8192,2471,128,364.061,32
8192,2471,192,481.652,32
8192,2471,256,576.349,32
8192,3685,8,318.908,32
8192,3685,16,311.670,32
8192,3685,24,331.195,32
8192,3685,32,301.062,32
8192,3685,48,324.331,32
8192,3685,64,318.213,32
8192,3685,96,358.300,32
8192,3685,128,399.845,32
8192,3685,192,508.297,32
8192,3685,256,603.645,32
8192,5494,8,313.747,32
8192,5494,16,301.922,32
8192,5494,24,350.914,32
8192,5494,32,296.340,32
8192,5494,48,349.604,32
8192,5494,64,311.800,32
8192,5494,96,383.594,32
8192,5494,128,388.654,32
8192,5494,192,529.667,32
8192,5494,256,600.963,32
8192,8192,8,314.002,32
8192,8192,16,302.538,32
8192,8192,24,357.879,32
8192,8192,32,299.580,32
8192,8192,48,354.402,32
8192,8192,64,314.976,32
8192,8192,96,388.195,32
8192,8192,128,389.893,32
8192,8192,192,535.131,32
8192,8192,256,600.075,32
16384,200,8,342.598,32
16384,200,16,319.546,32
